20:55:08.255 [      Main] [ INFO] | ------------------------------------------- 
20:55:08.271 [      Main] [ INFO] |    Player Name: qiuF 
20:55:08.409 [      Main] [ INFO] | Server Address: MC.52KO.COM 
20:55:08.409 [      Main] [ INFO] |    Server Port: 25565 
20:55:08.410 [      Main] [ INFO] |        Version: 316 
20:55:08.410 [      Main] [ INFO] | ------------------------------------------- 
20:55:10.247 [      qiuF] [ INFO] | litemc starting... 
20:55:16.076 [      qiuF] [ INFO] | connecting server... 
20:55:19.713 [      qiuF] [ INFO] | connect server success. 
20:55:20.353 [      qiuF] [ INFO] | handshaking... 
20:55:20.373 [      qiuF] [ INFO] | logining... 
20:55:20.440 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:21.206 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:21.795 [      qiuF] [ INFO] | set compression 128. 
20:55:21.797 [      qiuF] [ INFO] | login success! 
20:55:22.591 [      qiuF] [ INFO] | §c请使用/login登录已经注册过的帐号或者使用/reg注册！ 
20:55:22.594 [      qiuF] [ INFO] | player join game. 
20:55:23.040 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:23.041 [      qiuF] [ INFO] | reset pl -2.7, 72.0, 21.685, -0.15, 0.3, true 
20:55:23.048 [      qiuF] [ INFO] | set window items 0 
20:55:23.054 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:23.055 [      qiuF] [ INFO] | reset pl -0.368, 72.0625, 21.042, 0.0, 0.0, false 
20:55:23.060 [      qiuF] [ INFO] | §A§n§t§i§M§i§n§i§m§a§p 
20:55:23.061 [      qiuF] [ INFO] | §3 §6 §3 §6 §3 §6 §e 
20:55:23.063 [      qiuF] [ INFO] | §0§0§1§2§3§5§e§f 
20:55:23.064 [      qiuF] [ INFO] | §0§0§c§d§e§f 
20:55:23.067 [      qiuF] [ INFO] |  
20:55:23.068 [      qiuF] [ INFO] |  
20:55:23.069 [      qiuF] [ INFO] |  
20:55:23.070 [      qiuF] [ INFO] |  
20:55:23.072 [      qiuF] [ INFO] |  
20:55:23.073 [      qiuF] [ INFO] |  
20:55:23.074 [      qiuF] [ INFO] |  
20:55:23.076 [      qiuF] [ INFO] |  
20:55:23.077 [      qiuF] [ INFO] |  
20:55:23.078 [      qiuF] [ INFO] |  
20:55:23.081 [      qiuF] [ INFO] |  
20:55:23.083 [      qiuF] [ INFO] |  
20:55:23.085 [      qiuF] [ INFO] |  
20:55:23.086 [      qiuF] [ INFO] |  
20:55:23.087 [      qiuF] [ INFO] |  
20:55:23.088 [      qiuF] [ INFO] |  
20:55:23.090 [      qiuF] [ INFO] |  
20:55:23.091 [      qiuF] [ INFO] |  
20:55:23.093 [      qiuF] [ INFO] | [注意]请登录帐号，输入/L 密码，如/L 123456，来登录你的帐号！ 
20:55:23.094 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:23.096 [      qiuF] [ INFO] | [注意]如果您从未注册，说明该ID已有人使用，请更换游戏ID 
20:55:23.098 [      qiuF] [ INFO] | [提示]如果您进入生存服任何大区直接弹回登录服，等待3~5分钟即可！ 
20:55:23.112 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:23.117 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:23.165 [      qiuF] [ INFO] | [系统提示]您已成功登录，开始属于你的冒险吧！ 
20:55:23.167 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:23.176 [      qiuF] [ INFO] | [东方大陆]请按T键在聊天窗口输入.help完成验证，不需要加/，直接输入即可！ 
20:55:23.176 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:23.213 [      qiuF] [ INFO] | [东方大陆]你已经成功通过验证！ 
20:55:23.216 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:23.217 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:23.266 [      qiuF] [ INFO] | window opened, 1, minecraft:container, 45 
20:55:23.331 [      qiuF] [ INFO] | set window items 1 
20:55:23.332 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:23.333 [      qiuF] [ INFO] | ClientEventEncoder 
